"method";"fold";"lambda";"loglik";"niter";"exetime"
"BL";1;1e-06;-477,805802892246;290;18,0300000000279
"BL";1;1,77827941003892e-06;-431,897561401184;243;14,8299999999581
"BL";1;3,16227766016838e-06;-395,569009256901;206;12,6700000000419
"BL";1;5,62341325190349e-06;-368,225840626821;169;10,7600000000093
"BL";1;1e-05;-348,601014718632;181;11,0400000000373
"BL";1;1,77827941003892e-05;-335,524128511802;171;10,6699999999255
"BL";1;3,16227766016838e-05;-328,076276971214;133;8,39000000001397
"BL";1;5,62341325190349e-05;-325,48680491768;95;5,85999999998603
"BL";1;1e-04;-327,189016563372;67;4,03000000002794
"BL";1;0,000177827941003892;-332,151626363862;48;3,07999999995809
"BL";1;0,000316227766016838;-338,761924786025;30;1,84000000008382
"BL";1;0,000562341325190349;-346,190185468033;24;1,43999999994412
"BL";1;0,001;-353,751862279344;18;1,15000000002328
"BL";1;0,00177827941003892;-361,263832092924;14;0,739999999990687
"BL";1;0,00316227766016838;-369,512419192399;8;0,440000000060536
"BL";1;0,00562341325190349;-377,752647652474;6;0,319999999948777
"BL";1;0,01;-384,947657607721;8;0,71999999997206
"BL";1;0,0177827941003892;-385,784458068152;5;0,35999999998603
"BL";1;0,0316227766016838;-384,001212875652;8;0,5
"BL";1;0,0562341325190349;-383,683937556703;2;0,14000000001397
"BL";1;0,1;-383,683937568876;2;0,10999999998603
"BL";1;0,177827941003892;-383,683937608956;2;0,100000000093132
"BL";1;0,316227766016838;-383,683937770588;2;0,0800000000745058
"BL";1;0,562341325190349;-383,68393842603;2;0,0899999999674037
"BL";1;1;-383,68394111275;2;0,0700000000651926
"BL";1;1,77827941003892;-383,683952182471;2;0,10999999998603
"BL";1;3,16227766016838;-383,683997360329;2;0,0699999999487773
"BL";1;5,62341325190349;-383,684181512905;2;0,0700000000651926
"BL";1;10;-383,684931317742;7;0,589999999967404
"BL";2;1e-06;-638,772211166863;281;17,2800000000279
"BL";2;1,77827941003892e-06;-569,080001591873;264;15,3699999999953
"BL";2;3,16227766016838e-06;-513,783513376832;215;12,9599999999627
"BL";2;5,62341325190349e-06;-471,336825035055;195;11,9800000000978
"BL";2;1e-05;-439,302863414937;201;12,9899999999907
"BL";2;1,77827941003892e-05;-414,967981113854;195;11,4299999999348
"BL";2;3,16227766016838e-05;-396,359170126816;153;9,57000000006519
"BL";2;5,62341325190349e-05;-382,090492209028;106;6,26000000000931
"BL";2;1e-04;-371,26195808874;74;4,68999999994412
"BL";2;0,000177827941003892;-363,227923333154;52;3,05000000004657
"BL";2;0,000316227766016838;-357,713436673969;31;1,81999999994878
"BL";2;0,000562341325190349;-354,382069071737;21;1,09999999997672
"BL";2;0,001;-352,567126923714;12;0,840000000083819
"BL";2;0,00177827941003892;-352,916260557026;11;0,57999999995809
"BL";2;0,00316227766016838;-355,198898806635;8;0,439999999944121
"BL";2;0,00562341325190349;-357,975537852475;6;0,510000000009313
"BL";2;0,01;-360,956711876953;6;0,570000000065193
"BL";2;0,0177827941003892;-362,784069499878;5;0,309999999939464
"BL";2;0,0316227766016838;-363,294849665212;2;0,190000000060536
"BL";2;0,0562341325190349;-363,29484968121;2;0,119999999995343
"BL";2;0,1;-363,29484974179;2;0,10999999998603
"BL";2;0,177827941003892;-363,294849981211;2;0,0799999999580905
"BL";2;0,316227766016838;-363,294850999728;2;0,0800000000745058
"BL";2;0,562341325190349;-363,294855405815;2;0,0899999999674037
"BL";2;1;-363,294874371945;2;0,0799999999580905
"BL";2;1,77827941003892;-363,294956771672;2;0,0600000000558794
"BL";2;3,16227766016838;-363,295312781512;2;0,0899999999674037
"BL";2;5,62341325190349;-363,296849709409;2;0,0700000000651926
"BL";2;10;-363,303486365519;6;0,529999999911524
"BL";3;1e-06;-620,942644683841;313;21,1100000001024
"BL";3;1,77827941003892e-06;-553,469914143894;270;18,4099999999162
"BL";3;3,16227766016838e-06;-501,392902030336;214;13,890000000014
"BL";3;5,62341325190349e-06;-463,517384129546;164;11,2199999999721
"BL";3;1e-05;-437,636832995466;134;9,45000000006985
"BL";3;1,77827941003892e-05;-421,193160352253;123;9,1600000000326
"BL";3;3,16227766016838e-05;-411,369594062799;109;8,28999999992084
"BL";3;5,62341325190349e-05;-406,296294375682;85;5,30000000004657
"BL";3;1e-04;-404,579750195032;63;3,55999999993946
"BL";3;0,000177827941003892;-404,955833677716;46;2,78000000002794
"BL";3;0,000316227766016838;-406,94698993048;28;1,64000000001397
"BL";3;0,000562341325190349;-409,842110357681;22;1,13000000000466
"BL";3;0,001;-412,852119244168;16;1,05999999993946
"BL";3;0,00177827941003892;-416,194834706423;12;0,850000000093132
"BL";3;0,00316227766016838;-420,468663743064;10;0,529999999911524
"BL";3;0,00562341325190349;-425,723060423428;9;0,5
"BL";3;0,01;-432,011682756055;7;0,369999999995343
"BL";3;0,0177827941003892;-435,212385228589;6;0,600000000093132
"BL";3;0,0316227766016838;-435,796095425045;2;1,26000000000931
"BL";3;0,0562341325190349;-435,796113960163;2;0,130000000004657
"BL";3;0,1;-435,796113755885;2;0,10999999998603
"BL";3;0,177827941003892;-435,796113041312;2;0,0699999999487773
"BL";3;0,316227766016838;-435,79611048679;2;0,300000000046566
"BL";3;0,562341325190349;-435,796101291206;2;0,0799999999580905
"BL";3;1;-435,796068266375;2;0,0799999999580905
"BL";3;1,77827941003892;-435,795949203802;2;0,0800000000745058
"BL";3;3,16227766016838;-435,795520838504;2;0,0699999999487773
"BL";3;5,62341325190349;-435,793981444112;2;0,0800000000745058
"BL";3;10;-435,788450821869;7;0,409999999916181
"BL";4;1e-06;-525,608806238351;284;20,3200000000652
"BL";4;1,77827941003892e-06;-482,253095848627;246;16,5599999999395
"BL";4;3,16227766016838e-06;-449,212826608304;205;13,9700000000885
"BL";4;5,62341325190349e-06;-425,187051542052;153;10,8399999999674
"BL";4;1e-05;-408,240051358856;135;9,82999999995809
"BL";4;1,77827941003892e-05;-396,179159199028;123;8,5899999999674
"BL";4;3,16227766016838e-05;-387,708638418017;99;6,60000000009313
"BL";4;5,62341325190349e-05;-381,858202805545;75;5,26000000000931
"BL";4;1e-04;-377,929398483088;54;3,79999999993015
"BL";4;0,000177827941003892;-375,38982648149;41;3,01000000000931
"BL";4;0,000316227766016838;-373,013793523458;27;1,57999999995809
"BL";4;0,000562341325190349;-370,810216434252;21;1,46000000007916
"BL";4;0,001;-369,62132350439;13;0,819999999948777
"BL";4;0,00177827941003892;-370,420715446053;11;0,930000000051223
"BL";4;0,00316227766016838;-373,360759633366;9;0,589999999967404
"BL";4;0,00562341325190349;-377,17920566715;8;0,510000000009313
"BL";4;0,01;-379,996076394556;7;0,540000000037253
"BL";4;0,0177827941003892;-380,068400486234;6;0,459999999962747
"BL";4;0,0316227766016838;-378,834424742404;7;0,660000000032596
"BL";4;0,0562341325190349;-378,430635838651;2;0,14000000001397
"BL";4;0,1;-378,430635854337;2;0,130000000004657
"BL";4;0,177827941003892;-378,43063590356;2;0,0899999999674037
"BL";4;0,316227766016838;-378,430636107744;2;0,0799999999580905
"BL";4;0,562341325190349;-378,430636936083;2;0,0899999999674037
"BL";4;1;-378,430640357597;2;0,0800000000745058
"BL";4;1,77827941003892;-378,430654778759;2;0,0899999999674037
"BL";4;3,16227766016838;-378,430714502562;2;0,0999999999767169
"BL";4;5,62341325190349;-378,430961306374;2;0,0800000000745058
"BL";4;10;-378,431980830433;7;0,399999999906868
"BL";5;1e-06;-540,955226954488;334;22,4599999999627
"BL";5;1,77827941003892e-06;-487,148056983056;269;19,0700000000652
"BL";5;3,16227766016838e-06;-445,953029967689;221;14,9799999999814
"BL";5;5,62341325190349e-06;-416,591195813917;175;12,2799999999115
"BL";5;1e-05;-397,94700367802;185;12,75
"BL";5;1,77827941003892e-05;-388,139616700158;168;12,4700000000885
"BL";5;3,16227766016838e-05;-384,575216622737;134;9,03999999992084
"BL";5;5,62341325190349e-05;-384,739215295542;94;6,69000000006054
"BL";5;1e-04;-386,910523317079;66;4,39000000001397
"BL";5;0,000177827941003892;-389,497441591836;46;3,10999999998603
"BL";5;0,000316227766016838;-391,958572777793;27;1,85999999998603
"BL";5;0,000562341325190349;-394,064471959699;21;1,60999999998603
"BL";5;0,001;-396,412071211158;18;1,18999999994412
"BL";5;0,00177827941003892;-400,153285111271;13;1
"BL";5;0,00316227766016838;-405,544921880721;9;0,560000000055879
"BL";5;0,00562341325190349;-411,206000025458;6;0,410000000032596
"BL";5;0,01;-417,041245433907;5;0,35999999998603
"BL";5;0,0177827941003892;-419,074431748457;6;0,589999999967404
"BL";5;0,0316227766016838;-419,094277037863;2;0,199999999953434
"BL";5;0,0562341325190349;-419,094277016217;2;0,160000000032596
"BL";5;0,1;-419,094276940716;2;0,10999999998603
"BL";5;0,177827941003892;-419,094276678857;2;0,090000000083819
"BL";5;0,316227766016838;-419,094275700026;2;0,10999999998603
"BL";5;0,562341325190349;-419,094272040461;2;0,10999999998603
"BL";5;1;-419,094258399072;2;0,0799999999580905
"BL";5;1,77827941003892;-419,094207163268;2;0,0899999999674037
"BL";5;3,16227766016838;-419,094015895301;2;0,0800000000745058
"BL";5;5,62341325190349;-419,093302130094;2;0,0899999999674037
"BL";5;10;-419,09063916524;7;0,46999999997206
"PG";1;1e-06;-477,860330070879;148;11,5
"PG";1;1,77827941003892e-06;-431,878375504584;130;9,38999999989755
"PG";1;3,16227766016838e-06;-395,554112882265;147;10,1800000000512
"PG";1;5,62341325190349e-06;-368,232131453546;131;9,27000000001863
"PG";1;1e-05;-348,627627092913;129;8,72999999998137
"PG";1;1,77827941003892e-05;-335,522298006369;107;7,56999999994878
"PG";1;3,16227766016838e-05;-328,068580191817;69;4,86000000010245
"PG";1;5,62341325190349e-05;-325,480874636558;52;3,30999999993946
"PG";1;1e-04;-327,184945717119;35;2,30000000004657
"PG";1;0,000177827941003892;-332,148947544732;24;1,78999999992084
"PG";1;0,000316227766016838;-338,7595099979;20;1,32000000006519
"PG";1;0,000562341325190349;-346,190689965579;14;0,809999999939464
"PG";1;0,001;-353,750070653347;13;0,930000000051223
"PG";1;0,00177827941003892;-361,265980716908;10;0,539999999920838
"PG";1;0,00316227766016838;-369,520447096426;6;0,350000000093132
"PG";1;0,00562341325190349;-377,770570999909;6;0,529999999911524
"PG";1;0,01;-384,948352266161;7;0,480000000097789
"PG";1;0,0177827941003892;-385,78904167413;5;0,389999999897555
"PG";1;0,0316227766016838;-383,997824753236;3;0,240000000107102
"PG";1;0,0562341325190349;-383,683937553527;2;0,139999999897555
"PG";1;0,1;-383,683937556755;2;0,119999999995343
"PG";1;0,177827941003892;-383,68393755986;2;0,0800000000745058
"PG";1;0,316227766016838;-383,683937584393;2;0,0899999999674037
"PG";1;0,562341325190349;-383,68393771051;2;0,10999999998603
"PG";1;1;-383,683938419393;2;0,0800000000745058
"PG";1;1,77827941003892;-383,683942784143;2;0,0999999999767169
"PG";1;3,16227766016838;-383,683968376461;2;0,0899999999674037
"PG";1;5,62341325190349;-383,68411681838;2;0,0799999999580905
"PG";1;10;-383,684977137873;6;0,590000000083819
"PG";2;1e-06;-638,830830170954;152;10,4900000001071
"PG";2;1,77827941003892e-06;-569,086041293225;138;9,80999999993946
"PG";2;3,16227766016838e-06;-513,777092150705;158;10,5600000000559
"PG";2;5,62341325190349e-06;-471,334206079067;154;9,90999999991618
"PG";2;1e-05;-439,315538115555;140;9,22000000008848
"PG";2;1,77827941003892e-05;-414,980791140676;116;8,63999999989755
"PG";2;3,16227766016838e-05;-396,367296737074;74;5,25
"PG";2;5,62341325190349e-05;-382,097133127477;55;3,5
"PG";2;1e-04;-371,26438374736;39;2,83000000007451
"PG";2;0,000177827941003892;-363,228502629611;25;1,64000000001397
"PG";2;0,000316227766016838;-357,708474214762;18;1
"PG";2;0,000562341325190349;-354,37200030816;16;1,14999999990687
"PG";2;0,001;-352,537271506401;10;0,560000000055879
"PG";2;0,00177827941003892;-352,907571428139;10;0,60999999998603
"PG";2;0,00316227766016838;-355,202623210955;7;0,39000000001397
"PG";2;0,00562341325190349;-357,97007161651;7;0,680000000051223
"PG";2;0,01;-360,954965318995;7;0,449999999953434
"PG";2;0,0177827941003892;-362,78360548341;5;0,35999999998603
"PG";2;0,0316227766016838;-363,294849661619;2;0,199999999953434
"PG";2;0,0562341325190349;-363,294849664421;2;0,110000000102445
"PG";2;0,1;-363,294849672708;2;0,130000000004657
"PG";2;0,177827941003892;-363,294849680239;2;0,0899999999674037
"PG";2;0,316227766016838;-363,29484971001;2;0,0899999999674037
"PG";2;0,562341325190349;-363,294849907871;2;0,290000000037253
"PG";2;1;-363,294851022537;2;0,0899999999674037
"PG";2;1,77827941003892;-363,294858562598;2;0,0799999999580905
"PG";2;3,16227766016838;-363,294906324579;2;0,119999999995343
"PG";2;5,62341325190349;-363,295202748296;2;0,0800000000745058
"PG";2;10;-363,297032644523;6;0,39000000001397
"PG";3;1e-06;-621,105840318191;146;10,640000000014
"PG";3;1,77827941003892e-06;-553,476758594079;129;9,68999999994412
"PG";3;3,16227766016838e-06;-501,36052243642;102;7,64000000001397
"PG";3;5,62341325190349e-06;-463,464270330855;98;6,5899999999674
"PG";3;1e-05;-437,580412087907;96;7
"PG";3;1,77827941003892e-05;-421,162874099082;69;4,94000000006054
"PG";3;3,16227766016838e-05;-411,354191182362;59;3,98999999999069
"PG";3;5,62341325190349e-05;-406,286594765016;47;3,53000000002794
"PG";3;1e-04;-404,578341203433;34;2,56999999994878
"PG";3;0,000177827941003892;-404,959129249804;24;1,6600000000326
"PG";3;0,000316227766016838;-406,943916403677;19;1,38000000000466
"PG";3;0,000562341325190349;-409,84382068616;15;0,899999999906868
"PG";3;0,001;-412,848523826404;13;0,960000000079162
"PG";3;0,00177827941003892;-416,193000700596;10;0,559999999939464
"PG";3;0,00316227766016838;-420,467769196373;10;0,60999999998603
"PG";3;0,00562341325190349;-425,727106201165;8;0,650000000023283
"PG";3;0,01;-432,015474617441;6;0,599999999976717
"PG";3;0,0177827941003892;-435,212433513039;5;0,369999999995343
"PG";3;0,0316227766016838;-435,796095851357;2;1,33000000007451
"PG";3;0,0562341325190349;-435,796114035105;2;0,10999999998603
"PG";3;0,1;-435,796114013795;2;0,119999999995343
"PG";3;0,177827941003892;-435,796113946759;2;0,130000000004657
"PG";3;0,316227766016838;-435,796113613686;2;0,0799999999580905
"PG";3;0,562341325190349;-435,796111892418;2;0,28000000002794
"PG";3;1;-435,796103140292;2;0,0799999999580905
"PG";3;1,77827941003892;-435,796057951363;2;0,090000000083819
"PG";3;3,16227766016838;-435,795828386281;2;0,0899999999674037
"PG";3;5,62341325190349;-435,794664682548;2;0,0799999999580905
"PG";3;10;-435,78876756795;6;0,35999999998603
"PG";4;1e-06;-525,62169976002;141;10,0599999999395
"PG";4;1,77827941003892e-06;-482,150078060804;122;8,89000000001397
"PG";4;3,16227766016838e-06;-449,091183983356;125;9,21999999997206
"PG";4;5,62341325190349e-06;-425,08843323849;104;6,79000000003725
"PG";4;1e-05;-408,163051911498;99;6,60999999998603
"PG";4;1,77827941003892e-05;-396,12919826404;69;4,82000000006519
"PG";4;3,16227766016838e-05;-387,675206098604;56;3,96999999997206
"PG";4;5,62341325190349e-05;-381,83791968616;43;2,78000000002794
"PG";4;1e-04;-377,922821819673;29;2,21999999997206
"PG";4;0,000177827941003892;-375,389711206498;21;1,56999999994878
"PG";4;0,000316227766016838;-373,015695739885;20;1,48999999999069
"PG";4;0,000562341325190349;-370,811102410267;13;1,19000000006054
"PG";4;0,001;-369,610260598375;14;0,839999999967404
"PG";4;0,00177827941003892;-370,411860250761;13;0,96999999997206
"PG";4;0,00316227766016838;-373,365976470211;7;0,440000000060536
"PG";4;0,00562341325190349;-377,169936162763;5;0,339999999967404
"PG";4;0,01;-379,998575305288;7;0,699999999953434
"PG";4;0,0177827941003892;-380,068378267611;5;0,360000000102445
"PG";4;0,0316227766016838;-378,834314343677;5;0,349999999976717
"PG";4;0,0562341325190349;-378,430635834547;2;0,119999999995343
"PG";4;0,1;-378,430635838536;2;0,10999999998603
"PG";4;0,177827941003892;-378,430635845388;2;0,119999999995343
"PG";4;0,316227766016838;-378,430635877103;2;0,0799999999580905
"PG";4;0,562341325190349;-378,430636036252;2;0,100000000093132
"PG";4;1;-378,430636958507;2;0,10999999998603
"PG";4;1,77827941003892;-378,430642668903;2;0,0699999999487773
"PG";4;3,16227766016838;-378,430676716104;2;0,130000000004657
"PG";4;5,62341325190349;-378,430877329606;2;0,0799999999580905
"PG";4;10;-378,432057423324;6;0,340000000083819
"PG";5;1e-06;-541,983270105962;154;9,88999999989755
"PG";5;1,77827941003892e-06;-487,699315127787;151;9,71000000007916
"PG";5;3,16227766016838e-06;-446,181644824369;161;10,390000000014
"PG";5;5,62341325190349e-06;-416,665376420695;152;10,8099999999395
"PG";5;1e-05;-397,942209090153;129;8,89000000001397
"PG";5;1,77827941003892e-05;-388,124061960945;104;6,6600000000326
"PG";5;3,16227766016838e-05;-384,563957082793;68;4,75
"PG";5;5,62341325190349e-05;-384,728431189539;51;3,36999999999534
"PG";5;1e-04;-386,903031959344;35;2,30999999993946
"PG";5;0,000177827941003892;-389,494680527378;23;1,69000000006054
"PG";5;0,000316227766016838;-391,938450505182;20;1,21999999997206
"PG";5;0,000562341325190349;-394,056388513755;13;0,96999999997206
"PG";5;0,001;-396,409532266098;12;0,700000000069849
"PG";5;0,00177827941003892;-400,152712332355;9;0,559999999939464
"PG";5;0,00316227766016838;-405,549708645003;7;0,64000000001397
"PG";5;0,00562341325190349;-411,205253494012;6;0,430000000051223
"PG";5;0,01;-417,042259298207;6;0,399999999906868
"PG";5;0,0177827941003892;-419,074247108633;5;0,350000000093132
"PG";5;0,0316227766016838;-419,094277044839;2;0,169999999925494
"PG";5;0,0562341325190349;-419,094277041782;2;0,10999999998603
"PG";5;0,1;-419,094277031555;2;0,090000000083819
"PG";5;0,177827941003892;-419,094277007986;2;0,10999999998603
"PG";5;0,316227766016838;-419,094276881641;2;0,0799999999580905
"PG";5;0,562341325190349;-419,0942761924;2;0,0800000000745058
"PG";5;1;-419,094272572657;2;0,289999999920838
"PG";5;1,77827941003892;-419,094252924006;2;0,0999999999767169
"PG";5;3,16227766016838;-419,094148888307;2;0,0800000000745058
